timestamp,scenario,zone_id,crop,growth_stage,kc,et0,etc,rainfall,effective_rainfall,crop_water_deficit,water_demand
2026-06-01 00:00:00,Normal,1,Tomato,Mid-season,1.15,0.000264,0.000304,0.0,0.0,0.000304,9.23
2026-06-01 00:00:00,Normal,2,Wheat,Development,0.85,0.000264,0.000224,0.0,0.0,0.000224,9.23
2026-06-01 00:00:00,Normal,3,Maize,Mid-season,1.2,0.000264,0.000317,0.0,0.0,0.000317,9.23
2026-06-01 00:01:00,Normal,1,Tomato,Mid-season,1.15,0.000298,0.000343,0.0,0.0,0.000343,9.23
2026-06-01 00:01:00,Normal,2,Wheat,Development,0.85,0.000298,0.000253,0.0,0.0,0.000253,9.23
2026-06-01 00:01:00,Normal,3,Maize,Mid-season,1.2,0.000298,0.000358,0.0,0.0,0.000358,9.23
2026-06-01 00:02:00,Normal,1,Tomato,Mid-season,1.15,0.000199,0.000229,0.0,0.0,0.000229,9.23
2026-06-01 00:02:00,Normal,2,Wheat,Development,0.85,0.000199,0.000169,0.0,0.0,0.000169,9.23
2026-06-01 00:02:00,Normal,3,Maize,Mid-season,1.2,0.000199,0.000239,0.0,0.0,0.000239,9.23
2026-06-01 00:03:00,Normal,1,Tomato,Mid-season,1.15,0.000312,0.000359,0.0,0.0,0.000359,9.23
2026-06-01 00:03:00,Normal,2,Wheat,Development,0.85,0.000312,0.000265,0.0,0.0,0.000265,9.23
2026-06-01 00:03:00,Normal,3,Maize,Mid-season,1.2,0.000312,0.000374,0.0,0.0,0.000374,9.23
2026-06-01 00:04:00,Normal,1,Tomato,Mid-season,1.15,0.000218,0.000251,0.0,0.0,0.000251,9.23
2026-06-01 00:04:00,Normal,2,Wheat,Development,0.85,0.000218,0.000185,0.0,0.0,0.000185,9.23
2026-06-01 00:04:00,Normal,3,Maize,Mid-season,1.2,0.000218,0.000262,0.0,0.0,0.000262,9.23
2026-06-01 00:05:00,Normal,1,Tomato,Mid-season,1.15,0.000251,0.000289,0.0,0.0,0.000289,9.23
2026-06-01 00:05:00,Normal,2,Wheat,Development,0.85,0.000251,0.000213,0.0,0.0,0.000213,9.23
2026-06-01 00:05:00,Normal,3,Maize,Mid-season,1.2,0.000251,0.000301,0.0,0.0,0.000301,9.23
2026-06-01 00:06:00,Normal,1,Tomato,Mid-season,1.15,0.000366,0.000421,0.0,0.0,0.000421,9.23
2026-06-01 00:06:00,Normal,2,Wheat,Development,0.85,0.000366,0.000311,0.0,0.0,0.000311,9.23
2026-06-01 00:06:00,Normal,3,Maize,Mid-season,1.2,0.000366,0.000439,0.0,0.0,0.000439,9.23
2026-06-01 00:07:00,Normal,1,Tomato,Mid-season,1.15,0.000322,0.00037,0.0,0.0,0.00037,9.23
2026-06-01 00:07:00,Normal,2,Wheat,Development,0.85,0.000322,0.000274,0.0,0.0,0.000274,9.23
2026-06-01 00:07:00,Normal,3,Maize,Mid-season,1.2,0.000322,0.000386,0.0,0.0,0.000386,9.23
2026-06-01 00:08:00,Normal,1,Tomato,Mid-season,1.15,0.000336,0.000386,0.0,0.0,0.000386,9.23
2026-06-01 00:08:00,Normal,2,Wheat,Development,0.85,0.000336,0.000286,0.0,0.0,0.000286,9.23
2026-06-01 00:08:00,Normal,3,Maize,Mid-season,1.2,0.000336,0.000403,0.0,0.0,0.000403,9.23
2026-06-01 00:09:00,Normal,1,Tomato,Mid-season,1.15,0.000156,0.000179,0.0,0.0,0.000179,9.23
2026-06-01 00:09:00,Normal,2,Wheat,Development,0.85,0.000156,0.000133,0.0,0.0,0.000133,9.23
2026-06-01 00:09:00,Normal,3,Maize,Mid-season,1.2,0.000156,0.000187,0.0,0.0,0.000187,9.23
2026-06-01 00:10:00,Normal,1,Tomato,Mid-season,1.15,0.000434,0.000499,0.0,0.0,0.000499,9.23
2026-06-01 00:10:00,Normal,2,Wheat,Development,0.85,0.000434,0.000369,0.0,0.0,0.000369,9.23
2026-06-01 00:10:00,Normal,3,Maize,Mid-season,1.2,0.000434,0.000521,0.0,0.0,0.000521,9.23
2026-06-01 00:11:00,Normal,1,Tomato,Mid-season,1.15,0.0002,0.00023,0.0,0.0,0.00023,9.23
2026-06-01 00:11:00,Normal,2,Wheat,Development,0.85,0.0002,0.00017,0.0,0.0,0.00017,9.23
2026-06-01 00:11:00,Normal,3,Maize,Mid-season,1.2,0.0002,0.00024,0.0,0.0,0.00024,9.23
2026-06-01 00:12:00,Normal,1,Tomato,Mid-season,1.15,0.000385,0.000443,0.0,0.0,0.000443,9.23
2026-06-01 00:12:00,Normal,2,Wheat,Development,0.85,0.000385,0.000327,0.0,0.0,0.000327,9.23
