timestamp,temperature,humidity,solar_radiation,wind_speed,rainfall,scenario,water_availability_factor,atmospheric_pressure,saturation_vapor_pressure,actual_vapor_pressure,vpd,delta,gamma,net_shortwave_radiation,net_longwave_radiation,net_radiation,soil_heat_flux,et0,et0_rate_mm_day
2026-06-01 00:00:00,22.84,72.7,0.0,1.46,0.0,Normal,1.0,100.675,2.7824,2.0228,0.7596,0.16849,0.06695,0.0,0.00244,-0.00244,-0.00122,0.000264,0.38
2026-06-01 00:01:00,22.61,73.71,0.0,1.62,0.0,Normal,1.0,100.675,2.7438,2.0225,0.7214,0.16645,0.06695,0.0,0.002432,-0.002432,-0.001216,0.000298,0.4295
2026-06-01 00:02:00,22.84,72.97,0.0,1.3,0.0,Normal,1.0,100.675,2.7824,2.0303,0.7521,0.16849,0.06695,0.0,0.002433,-0.002433,-0.001217,0.000199,0.2869
2026-06-01 00:03:00,22.84,73.21,0.0,1.62,0.0,Normal,1.0,100.675,2.7824,2.037,0.7454,0.16849,0.06695,0.0,0.002428,-0.002428,-0.001214,0.000312,0.4499
2026-06-01 00:04:00,22.37,73.82,0.0,1.41,0.0,Normal,1.0,100.675,2.7041,1.9962,0.7079,0.16435,0.06695,0.0,0.002447,-0.002447,-0.001223,0.000218,0.3143
2026-06-01 00:05:00,22.44,73.82,0.0,1.5,0.0,Normal,1.0,100.675,2.7157,2.0047,0.711,0.16496,0.06695,0.0,0.002442,-0.002442,-0.001221,0.000251,0.3618
2026-06-01 00:06:00,22.62,73.44,0.0,1.8,0.0,Normal,1.0,100.675,2.7455,2.0163,0.7292,0.16654,0.06695,0.0,0.002438,-0.002438,-0.001219,0.000366,0.5272
2026-06-01 00:07:00,22.52,73.5,0.0,1.68,0.0,Normal,1.0,100.675,2.7289,2.0057,0.7232,0.16566,0.06695,0.0,0.002444,-0.002444,-0.001222,0.000322,0.4633
2026-06-01 00:08:00,22.53,73.14,0.0,1.7,0.0,Normal,1.0,100.675,2.7306,1.9971,0.7334,0.16575,0.06695,0.0,0.002451,-0.002451,-0.001226,0.000336,0.4844
2026-06-01 00:09:00,22.38,73.61,0.0,1.23,0.0,Normal,1.0,100.675,2.7058,1.9917,0.7141,0.16443,0.06695,0.0,0.002451,-0.002451,-0.001225,0.000156,0.2251
2026-06-01 00:10:00,22.6,72.69,0.0,1.95,0.0,Normal,1.0,100.675,2.7422,1.9933,0.7489,0.16636,0.06695,0.0,0.002457,-0.002457,-0.001228,0.000434,0.6252
2026-06-01 00:11:00,22.56,73.57,0.0,1.34,0.0,Normal,1.0,100.675,2.7355,2.0125,0.723,0.16601,0.06695,0.0,0.002439,-0.002439,-0.00122,0.0002,0.2882
2026-06-01 00:12:00,22.42,73.64,0.0,1.88,0.0,Normal,1.0,100.675,2.7124,1.9974,0.715,0.16478,0.06695,0.0,0.002447,-0.002447,-0.001224,0.000385,0.5538
2026-06-01 00:13:00,22.54,72.95,0.0,1.78,0.0,Normal,1.0,100.675,2.7322,1.9932,0.7391,0.16583,0.06695,0.0,0.002455,-0.002455,-0.001228,0.000369,0.5307
2026-06-01 00:14:00,22.41,73.31,0.0,1.69,0.0,Normal,1.0,100.675,2.7107,1.9872,0.7235,0.1647,0.06695,0.0,0.002456,-0.002456,-0.001228,0.000327,0.4711
2026-06-01 00:15:00,22.18,73.63,0.0,1.4,0.0,Normal,1.0,100.675,2.6731,1.9682,0.7049,0.1627,0.06695,0.0,0.002464,-0.002464,-0.001232,0.000215,0.3096
2026-06-01 00:16:00,22.33,74.52,0.0,1.6,0.0,Normal,1.0,100.675,2.6976,2.0102,0.6873,0.164,0.06695,0.0,0.002434,-0.002434,-0.001217,0.00027,0.3895
2026-06-01 00:17:00,22.1,74.62,0.0,1.48,0.0,Normal,1.0,100.675,2.6601,1.985,0.6751,0.162,0.06695,0.0,0.002447,-0.002447,-0.001224,0.000224,0.323
2026-06-01 00:18:00,22.35,73.38,0.0,1.57,0.0,Normal,1.0,100.675,2.7009,1.9819,0.719,0.16417,0.06695,0.0,0.002458,-0.002458,-0.001229,0.000283,0.4071
2026-06-01 00:19:00,22.18,74.85,0.0,1.52,0.0,Normal,1.0,100.675,2.6731,2.0008,0.6723,0.1627,0.06695,0.0,0.002437,-0.002437,-0.001218,0.000235,0.3381
2026-06-01 00:20:00,22.12,74.18,0.0,1.16,0.0,Normal,1.0,100.675,2.6633,1.9757,0.6877,0.16218,0.06695,0.0,0.002456,-0.002456,-0.001228,0.000119,0.171
