timestamp,scenario,temperature,humidity,solar_radiation,wind_speed,rainfall,weather_stress
2026-06-01 00:00:00,Normal,22.84,72.7,0.0,1.46,0.0,15.74
2026-06-01 00:01:00,Normal,22.61,73.71,0.0,1.62,0.0,15.87
2026-06-01 00:02:00,Normal,22.84,72.97,0.0,1.3,0.0,15.74
2026-06-01 00:03:00,Normal,22.84,73.21,0.0,1.62,0.0,15.74
2026-06-01 00:04:00,Normal,22.37,73.82,0.0,1.41,0.0,16.01
2026-06-01 00:05:00,Normal,22.44,73.82,0.0,1.5,0.0,15.97
2026-06-01 00:06:00,Normal,22.62,73.44,0.0,1.8,0.0,15.87
2026-06-01 00:07:00,Normal,22.52,73.5,0.0,1.68,0.0,15.93
2026-06-01 00:08:00,Normal,22.53,73.14,0.0,1.7,0.0,15.92
2026-06-01 00:09:00,Normal,22.38,73.61,0.0,1.23,0.0,16.01
2026-06-01 00:10:00,Normal,22.6,72.69,0.0,1.95,0.0,15.88
2026-06-01 00:11:00,Normal,22.56,73.57,0.0,1.34,0.0,15.9
2026-06-01 00:12:00,Normal,22.42,73.64,0.0,1.88,0.0,15.98
2026-06-01 00:13:00,Normal,22.54,72.95,0.0,1.78,0.0,15.91
2026-06-01 00:14:00,Normal,22.41,73.31,0.0,1.69,0.0,15.99
2026-06-01 00:15:00,Normal,22.18,73.63,0.0,1.4,0.0,15.98
2026-06-01 00:16:00,Normal,22.33,74.52,0.0,1.6,0.0,16.04
2026-06-01 00:17:00,Normal,22.1,74.62,0.0,1.48,0.0,15.92
2026-06-01 00:18:00,Normal,22.35,73.38,0.0,1.57,0.0,16.03
2026-06-01 00:19:00,Normal,22.18,74.85,0.0,1.52,0.0,15.98
2026-06-01 00:20:00,Normal,22.12,74.18,0.0,1.16,0.0,15.93
2026-06-01 00:21:00,Normal,22.02,73.96,0.0,1.79,0.0,15.86
2026-06-01 00:22:00,Normal,22.27,74.71,0.0,1.54,0.0,16.05
2026-06-01 00:23:00,Normal,22.03,74.44,0.0,1.46,0.0,15.86
2026-06-01 00:24:00,Normal,21.96,74.72,0.0,1.45,0.0,15.81
2026-06-01 00:25:00,Normal,21.94,75.04,0.0,1.63,0.0,15.8
2026-06-01 00:26:00,Normal,22.04,75.42,0.0,1.38,0.0,15.87
2026-06-01 00:27:00,Normal,21.99,74.91,0.0,1.1,0.0,15.83
2026-06-01 00:28:00,Normal,21.96,74.24,0.0,1.63,0.0,15.81
2026-06-01 00:29:00,Normal,21.93,75.37,0.0,1.65,0.0,15.79
2026-06-01 00:30:00,Normal,22.16,74.12,0.0,1.51,0.0,15.97
2026-06-01 00:31:00,Normal,21.75,76.7,0.0,1.32,0.0,15.65
2026-06-01 00:32:00,Normal,21.7,75.69,0.0,1.56,0.0,15.61
2026-06-01 00:33:00,Normal,21.62,74.56,0.0,1.25,0.0,15.55
2026-06-01 00:34:00,Normal,21.81,75.61,0.0,1.34,0.0,15.7
2026-06-01 00:35:00,Normal,21.85,76.43,0.0,1.39,0.0,15.73
2026-06-01 00:36:00,Normal,21.64,76.81,0.0,1.71,0.0,15.57
2026-06-01 00:37:00,Normal,21.5,77.35,0.0,1.47,0.0,15.46
2026-06-01 00:38:00,Normal,21.47,75.72,0.0,1.45,0.0,15.44
2026-06-01 00:39:00,Normal,21.66,76.35,0.0,1.93,0.0,15.58
2026-06-01 00:40:00,Normal,21.64,75.42,0.0,1.6,0.0,15.57
2026-06-01 00:41:00,Normal,21.58,76.15,0.0,1.6,0.0,15.52
2026-06-01 00:42:00,Normal,21.37,75.84,0.0,1.46,0.0,15.36
2026-06-01 00:43:00,Normal,21.48,75.93,0.0,1.41,0.0,15.45
2026-06-01 00:44:00,Normal,21.43,76.04,0.0,1.09,0.0,15.41
2026-06-01 00:45:00,Normal,21.41,77.03,0.0,1.72,0.0,15.39
2026-06-01 00:46:00,Normal,21.48,76.78,0.0,1.62,0.0,15.45
2026-06-01 00:47:00,Normal,21.35,76.82,0.0,1.49,0.0,15.35
2026-06-01 00:48:00,Normal,21.39,75.73,0.0,1.5,0.0,15.38
2026-06-01 00:49:00,Normal,21.27,76.69,0.0,1.67,0.0,15.29
2026-06-01 00:50:00,Normal,21.27,76.42,0.0,1.21,0.0,15.29
2026-06-01 00:51:00,Normal,21.3,77.33,0.0,1.4,0.0,15.31
2026-06-01 00:52:00,Normal,20.95,78.47,0.0,1.29,0.0,15.05
2026-06-01 00:53:00,Normal,21.1,78.0,0.0,1.87,0.0,15.16
2026-06-01 00:54:00,Normal,21.04,77.06,0.0,1.69,0.0,15.12
2026-06-01 00:55:00,Normal,20.99,76.02,0.0,1.08,0.0,15.08
2026-06-01 00:56:00,Normal,21.01,76.53,0.0,1.21,0.0,15.1
2026-06-01 00:57:00,Normal,21.25,77.79,0.0,1.49,0.0,15.27
2026-06-01 00:58:00,Normal,20.87,77.76,0.0,1.42,0.0,14.99
2026-06-01 00:59:00,Normal,21.11,76.87,0.0,1.25,0.0,15.17
2026-06-01 01:00:00,Normal,20.69,79.49,0.0,1.9,0.0,14.87
2026-06-01 01:01:00,Normal,20.86,78.78,0.0,1.57,0.0,14.99
2026-06-01 01:02:00,Normal,20.91,77.91,0.0,1.6,0.0,15.02
2026-06-01 01:03:00,Normal,20.94,77.62,0.0,1.37,0.0,15.04
2026-06-01 01:04:00,Normal,20.93,77.74,0.0,1.65,0.0,15.04
2026-06-01 01:05:00,Normal,20.92,78.0,0.0,1.43,0.0,15.03
2026-06-01 01:06:00,Normal,20.72,79.38,0.0,1.45,0.0,14.88
2026-06-01 01:07:00,Normal,20.67,78.8,0.0,1.63,0.0,14.85
2026-06-01 01:08:00,Normal,20.84,78.51,0.0,1.18,0.0,14.97
2026-06-01 01:09:00,Normal,20.66,79.29,0.0,1.82,0.0,14.84
2026-06-01 01:10:00,Normal,20.47,78.42,0.0,1.54,0.0,14.71
2026-06-01 01:11:00,Normal,20.46,79.59,0.0,1.76,0.0,14.91
2026-06-01 01:12:00,Normal,20.46,78.95,0.0,1.28,0.0,14.7
2026-06-01 01:13:00,Normal,20.65,77.1,0.0,1.31,0.0,14.83
2026-06-01 01:14:00,Normal,20.57,77.56,0.0,1.27,0.0,14.78
2026-06-01 01:15:00,Normal,20.62,78.07,0.0,1.55,0.0,14.81
2026-06-01 01:16:00,Normal,20.43,79.54,0.0,1.51,0.0,14.68
2026-06-01 01:17:00,Normal,20.49,79.12,0.0,1.4,0.0,14.72
2026-06-01 01:18:00,Normal,20.53,79.05,0.0,1.29,0.0,14.75
2026-06-01 01:19:00,Normal,20.36,80.57,0.0,1.24,0.0,14.63
2026-06-01 01:20:00,Normal,20.45,78.39,0.0,1.48,0.0,14.69
2026-06-01 01:21:00,Normal,20.26,79.68,0.0,1.4,0.0,14.56
2026-06-01 01:22:00,Normal,20.28,79.83,0.0,1.36,0.0,14.57
2026-06-01 01:23:00,Normal,20.25,79.29,0.0,1.8,0.0,14.78
2026-06-01 01:24:00,Normal,20.1,80.16,0.0,1.47,0.0,14.45
2026-06-01 01:25:00,Normal,20.32,78.55,0.0,1.74,0.0,14.6
2026-06-01 01:26:00,Normal,20.15,80.83,0.0,1.38,0.0,14.48
2026-06-01 01:27:00,Normal,20.2,79.45,0.0,1.54,0.0,14.52
2026-06-01 01:28:00,Normal,20.24,80.95,0.0,1.48,0.0,14.54
2026-06-01 01:29:00,Normal,20.21,79.8,0.0,1.15,0.0,14.52
2026-06-01 01:30:00,Normal,20.22,80.42,0.0,1.77,0.0,15.15
2026-06-01 01:31:00,Normal,20.08,80.16,0.0,1.46,0.0,14.43
2026-06-01 01:32:00,Normal,20.01,80.38,0.0,1.64,0.0,14.77
2026-06-01 01:33:00,Normal,20.03,79.97,0.0,1.34,0.0,14.4
2026-06-01 01:34:00,Normal,19.77,81.14,0.0,1.45,0.0,14.24
2026-06-01 01:35:00,Normal,19.78,81.22,0.0,1.31,0.0,14.23
2026-06-01 01:36:00,Normal,19.77,80.58,0.0,1.73,0.0,15.03
2026-06-01 01:37:00,Normal,19.79,80.91,0.0,1.55,0.0,14.52
2026-06-01 01:38:00,Normal,19.98,80.11,0.0,1.56,0.0,14.54
2026-06-01 01:39:00,Normal,19.76,82.47,0.0,1.76,0.0,15.1
2026-06-01 01:40:00,Normal,19.81,80.88,0.0,1.71,0.0,14.97
2026-06-01 01:41:00,Normal,20.04,81.23,0.0,1.64,0.0,14.77
2026-06-01 01:42:00,Normal,19.77,80.95,0.0,1.2,0.0,14.22
2026-06-01 01:43:00,Normal,19.91,80.83,0.0,1.34,0.0,14.32
2026-06-01 01:44:00,Normal,19.63,80.65,0.0,1.28,0.0,14.13
2026-06-01 01:45:00,Normal,19.72,80.93,0.0,1.63,0.0,14.74
2026-06-01 01:46:00,Normal,19.58,81.71,0.0,1.52,0.0,14.43
2026-06-01 01:47:00,Normal,19.65,82.34,0.0,1.2,0.0,14.14
2026-06-01 01:48:00,Normal,19.8,81.1,0.0,1.44,0.0,14.24
2026-06-01 01:49:00,Normal,19.39,82.93,0.0,1.18,0.0,13.97
2026-06-01 01:50:00,Normal,19.69,81.65,0.0,1.47,0.0,14.29
2026-06-01 01:51:00,Normal,19.64,82.39,0.0,1.15,0.0,14.13
2026-06-01 01:52:00,Normal,19.49,81.79,0.0,1.59,0.0,14.63
2026-06-01 01:53:00,Normal,19.34,83.68,0.0,1.56,0.0,14.54
2026-06-01 01:54:00,Normal,19.54,81.39,0.0,1.86,0.0,15.41
2026-06-01 01:55:00,Normal,19.43,81.53,0.0,1.65,0.0,14.8
2026-06-01 01:56:00,Normal,19.52,81.01,0.0,1.4,0.0,14.11
2026-06-01 01:57:00,Normal,19.47,83.29,0.0,1.64,0.0,14.77
2026-06-01 01:58:00,Normal,19.68,81.78,0.0,1.2,0.0,14.16
2026-06-01 01:59:00,Normal,19.38,81.92,0.0,1.29,0.0,13.96
2026-06-01 02:00:00,Normal,19.24,83.26,0.0,1.55,0.0,14.52
2026-06-01 02:01:00,Normal,19.4,82.48,0.0,1.05,0.0,13.97
2026-06-01 02:02:00,Normal,19.39,83.3,0.0,1.47,0.0,14.29
2026-06-01 02:03:00,Normal,19.54,80.77,0.0,1.28,0.0,14.07
2026-06-01 02:04:00,Normal,19.43,81.82,0.0,1.5,0.0,14.38
2026-06-01 02:05:00,Normal,19.34,81.96,0.0,1.26,0.0,13.93
2026-06-01 02:06:00,Normal,19.49,80.66,0.0,1.57,0.0,14.57
2026-06-01 02:07:00,Normal,19.07,83.64,0.0,1.48,0.0,14.32
2026-06-01 02:08:00,Normal,19.13,82.67,0.0,1.76,0.0,15.04
2026-06-01 02:09:00,Normal,19.06,83.46,0.0,1.48,0.0,14.32
2026-06-01 02:10:00,Normal,19.12,84.27,0.0,1.33,0.0,13.92
2026-06-01 02:11:00,Normal,18.95,83.11,0.0,1.43,0.0,14.19
2026-06-01 02:12:00,Normal,19.23,82.29,0.0,1.21,0.0,13.86
2026-06-01 02:13:00,Normal,19.08,83.03,0.0,1.56,0.0,14.54
2026-06-01 02:14:00,Normal,18.88,84.12,0.0,1.6,0.0,14.62
2026-06-01 02:15:00,Normal,18.92,83.06,0.0,1.98,0.0,14.93
