timestamp,zone_id,crop,soil_type,soil_moisture,rsm,moisture_error,soil_stress,fc,wp,target_moisture,root_depth,etc,effective_rainfall
2026-06-01 00:00:00,1,Tomato,Loam,55.0,0.6667,5.0,25.98,70.0,25.0,60.0,0.7,0.000304,0.0
2026-06-01 00:00:00,2,Wheat,Sandy,42.0,0.5714,13.0,56.37,60.0,18.0,55.0,0.9,0.000224,0.0
2026-06-01 00:00:00,3,Maize,Clay,65.0,0.7778,0.0,14.15,75.0,30.0,65.0,1.0,0.000317,0.0
2026-06-01 00:01:00,1,Tomato,Loam,54.9999,0.6667,5.0001,25.98,70.0,25.0,60.0,0.7,0.000343,0.0
2026-06-01 00:01:00,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,60.0,18.0,55.0,0.9,0.000253,0.0
2026-06-01 00:01:00,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,75.0,30.0,65.0,1.0,0.000358,0.0
2026-06-01 00:02:00,1,Tomato,Loam,54.9999,0.6667,5.0001,25.98,70.0,25.0,60.0,0.7,0.000229,0.0
2026-06-01 00:02:00,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,60.0,18.0,55.0,0.9,0.000169,0.0
2026-06-01 00:02:00,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,75.0,30.0,65.0,1.0,0.000239,0.0
2026-06-01 00:03:00,1,Tomato,Loam,54.9998,0.6667,5.0002,25.98,70.0,25.0,60.0,0.7,0.000359,0.0
2026-06-01 00:03:00,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,60.0,18.0,55.0,0.9,0.000265,0.0
2026-06-01 00:03:00,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,75.0,30.0,65.0,1.0,0.000374,0.0
2026-06-01 00:04:00,1,Tomato,Loam,54.9998,0.6667,5.0002,25.98,70.0,25.0,60.0,0.7,0.000251,0.0
2026-06-01 00:04:00,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,60.0,18.0,55.0,0.9,0.000185,0.0
2026-06-01 00:04:00,3,Maize,Clay,64.9998,0.7778,0.0002,14.15,75.0,30.0,65.0,1.0,0.000262,0.0
