timestamp,zone_id,crop,soil_type,soil_moisture,soil_storage_mm,field_capacity,wilting_point,saturation,root_depth_m,rsm,target_moisture,moisture_error,rainfall,effective_rainfall,et0,etc,irrigation,infiltration,drainage,runoff,water_stress_indicator,water_balance_residual
2026-06-01 00:00:00,1,Tomato,Loam,55.0,384.9997,70.0,25.0,85.0,0.7,0.6667,60.0,5.0,0.0,0.0,0.000264,0.000304,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:00:00,2,Wheat,Sandy,42.0,377.9998,60.0,18.0,78.0,0.9,0.5714,55.0,13.0,0.0,0.0,0.000264,0.000224,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:00:00,3,Maize,Clay,65.0,649.9997,75.0,30.0,90.0,1.0,0.7778,65.0,0.0,0.0,0.0,0.000264,0.000317,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:01:00,1,Tomato,Loam,54.9999,384.9994,70.0,25.0,85.0,0.7,0.6667,60.0,5.0001,0.0,0.0,0.000298,0.000343,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:01:00,2,Wheat,Sandy,41.9999,377.9995,60.0,18.0,78.0,0.9,0.5714,55.0,13.0001,0.0,0.0,0.000298,0.000253,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:01:00,3,Maize,Clay,64.9999,649.9993,75.0,30.0,90.0,1.0,0.7778,65.0,0.0001,0.0,0.0,0.000298,0.000358,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:02:00,1,Tomato,Loam,54.9999,384.9992,70.0,25.0,85.0,0.7,0.6667,60.0,5.0001,0.0,0.0,0.000199,0.000229,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:02:00,2,Wheat,Sandy,41.9999,377.9993,60.0,18.0,78.0,0.9,0.5714,55.0,13.0001,0.0,0.0,0.000199,0.000169,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:02:00,3,Maize,Clay,64.9999,649.9991,75.0,30.0,90.0,1.0,0.7778,65.0,0.0001,0.0,0.0,0.000199,0.000239,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:03:00,1,Tomato,Loam,54.9998,384.9988,70.0,25.0,85.0,0.7,0.6667,60.0,5.0002,0.0,0.0,0.000312,0.000359,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:03:00,2,Wheat,Sandy,41.9999,377.999,60.0,18.0,78.0,0.9,0.5714,55.0,13.0001,0.0,0.0,0.000312,0.000265,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:03:00,3,Maize,Clay,64.9999,649.9987,75.0,30.0,90.0,1.0,0.7778,65.0,0.0001,0.0,0.0,0.000312,0.000374,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:04:00,1,Tomato,Loam,54.9998,384.9985,70.0,25.0,85.0,0.7,0.6667,60.0,5.0002,0.0,0.0,0.000218,0.000251,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:04:00,2,Wheat,Sandy,41.9999,377.9988,60.0,18.0,78.0,0.9,0.5714,55.0,13.0001,0.0,0.0,0.000218,0.000185,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:04:00,3,Maize,Clay,64.9998,649.9984,75.0,30.0,90.0,1.0,0.7778,65.0,0.0002,0.0,0.0,0.000218,0.000262,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:05:00,1,Tomato,Loam,54.9997,384.9982,70.0,25.0,85.0,0.7,0.6667,60.0,5.0003,0.0,0.0,0.000251,0.000289,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:05:00,2,Wheat,Sandy,41.9998,377.9986,60.0,18.0,78.0,0.9,0.5714,55.0,13.0002,0.0,0.0,0.000251,0.000213,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:05:00,3,Maize,Clay,64.9998,649.9981,75.0,30.0,90.0,1.0,0.7778,65.0,0.0002,0.0,0.0,0.000251,0.000301,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:06:00,1,Tomato,Loam,54.9997,384.9978,70.0,25.0,85.0,0.7,0.6667,60.0,5.0003,0.0,0.0,0.000366,0.000421,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:06:00,2,Wheat,Sandy,41.9998,377.9983,60.0,18.0,78.0,0.9,0.5714,55.0,13.0002,0.0,0.0,0.000366,0.000311,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:06:00,3,Maize,Clay,64.9998,649.9977,75.0,30.0,90.0,1.0,0.7778,65.0,0.0002,0.0,0.0,0.000366,0.000439,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:07:00,1,Tomato,Loam,54.9996,384.9974,70.0,25.0,85.0,0.7,0.6667,60.0,5.0004,0.0,0.0,0.000322,0.00037,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:07:00,2,Wheat,Sandy,41.9998,377.998,60.0,18.0,78.0,0.9,0.5714,55.0,13.0002,0.0,0.0,0.000322,0.000274,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:07:00,3,Maize,Clay,64.9997,649.9973,75.0,30.0,90.0,1.0,0.7778,65.0,0.0003,0.0,0.0,0.000322,0.000386,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:08:00,1,Tomato,Loam,54.9996,384.997,70.0,25.0,85.0,0.7,0.6667,60.0,5.0004,0.0,0.0,0.000336,0.000386,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:08:00,2,Wheat,Sandy,41.9997,377.9977,60.0,18.0,78.0,0.9,0.5714,55.0,13.0003,0.0,0.0,0.000336,0.000286,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:08:00,3,Maize,Clay,64.9997,649.9969,75.0,30.0,90.0,1.0,0.7778,65.0,0.0003,0.0,0.0,0.000336,0.000403,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:09:00,1,Tomato,Loam,54.9995,384.9968,70.0,25.0,85.0,0.7,0.6667,60.0,5.0005,0.0,0.0,0.000156,0.000179,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:09:00,2,Wheat,Sandy,41.9997,377.9976,60.0,18.0,78.0,0.9,0.5714,55.0,13.0003,0.0,0.0,0.000156,0.000133,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:09:00,3,Maize,Clay,64.9997,649.9967,75.0,30.0,90.0,1.0,0.7778,65.0,0.0003,0.0,0.0,0.000156,0.000187,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:10:00,1,Tomato,Loam,54.9995,384.9963,70.0,25.0,85.0,0.7,0.6667,60.0,5.0005,0.0,0.0,0.000434,0.000499,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:10:00,2,Wheat,Sandy,41.9997,377.9972,60.0,18.0,78.0,0.9,0.5714,55.0,13.0003,0.0,0.0,0.000434,0.000369,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:10:00,3,Maize,Clay,64.9996,649.9962,75.0,30.0,90.0,1.0,0.7778,65.0,0.0004,0.0,0.0,0.000434,0.000521,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:11:00,1,Tomato,Loam,54.9994,384.9961,70.0,25.0,85.0,0.7,0.6667,60.0,5.0006,0.0,0.0,0.0002,0.00023,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:11:00,2,Wheat,Sandy,41.9997,377.997,60.0,18.0,78.0,0.9,0.5714,55.0,13.0003,0.0,0.0,0.0002,0.00017,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:11:00,3,Maize,Clay,64.9996,649.996,75.0,30.0,90.0,1.0,0.7778,65.0,0.0004,0.0,0.0,0.0002,0.00024,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:12:00,1,Tomato,Loam,54.9994,384.9957,70.0,25.0,85.0,0.7,0.6667,60.0,5.0006,0.0,0.0,0.000385,0.000443,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:12:00,2,Wheat,Sandy,41.9996,377.9967,60.0,18.0,78.0,0.9,0.5714,55.0,13.0004,0.0,0.0,0.000385,0.000327,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:12:00,3,Maize,Clay,64.9996,649.9955,75.0,30.0,90.0,1.0,0.7778,65.0,0.0004,0.0,0.0,0.000385,0.000462,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:13:00,1,Tomato,Loam,54.9993,384.9953,70.0,25.0,85.0,0.7,0.6667,60.0,5.0007,0.0,0.0,0.000369,0.000424,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:13:00,2,Wheat,Sandy,41.9996,377.9964,60.0,18.0,78.0,0.9,0.5714,55.0,13.0004,0.0,0.0,0.000369,0.000314,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:13:00,3,Maize,Clay,64.9995,649.9951,75.0,30.0,90.0,1.0,0.7778,65.0,0.0005,0.0,0.0,0.000369,0.000443,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:14:00,1,Tomato,Loam,54.9993,384.9949,70.0,25.0,85.0,0.7,0.6667,60.0,5.0007,0.0,0.0,0.000327,0.000376,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:14:00,2,Wheat,Sandy,41.9996,377.9961,60.0,18.0,78.0,0.9,0.5714,55.0,13.0004,0.0,0.0,0.000327,0.000278,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:14:00,3,Maize,Clay,64.9995,649.9947,75.0,30.0,90.0,1.0,0.7778,65.0,0.0005,0.0,0.0,0.000327,0.000392,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:15:00,1,Tomato,Loam,54.9992,384.9947,70.0,25.0,85.0,0.7,0.6666,60.0,5.0008,0.0,0.0,0.000215,0.000247,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:15:00,2,Wheat,Sandy,41.9995,377.9959,60.0,18.0,78.0,0.9,0.5714,55.0,13.0005,0.0,0.0,0.000215,0.000183,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:15:00,3,Maize,Clay,64.9994,649.9944,75.0,30.0,90.0,1.0,0.7778,65.0,0.0006,0.0,0.0,0.000215,0.000258,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:16:00,1,Tomato,Loam,54.9992,384.9944,70.0,25.0,85.0,0.7,0.6666,60.0,5.0008,0.0,0.0,0.00027,0.00031,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:16:00,2,Wheat,Sandy,41.9995,377.9957,60.0,18.0,78.0,0.9,0.5714,55.0,13.0005,0.0,0.0,0.00027,0.00023,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:16:00,3,Maize,Clay,64.9994,649.9941,75.0,30.0,90.0,1.0,0.7778,65.0,0.0006,0.0,0.0,0.00027,0.000324,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:17:00,1,Tomato,Loam,54.9992,384.9941,70.0,25.0,85.0,0.7,0.6666,60.0,5.0008,0.0,0.0,0.000224,0.000258,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:17:00,2,Wheat,Sandy,41.9995,377.9955,60.0,18.0,78.0,0.9,0.5714,55.0,13.0005,0.0,0.0,0.000224,0.00019,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:17:00,3,Maize,Clay,64.9994,649.9938,75.0,30.0,90.0,1.0,0.7778,65.0,0.0006,0.0,0.0,0.000224,0.000269,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:18:00,1,Tomato,Loam,54.9991,384.9938,70.0,25.0,85.0,0.7,0.6666,60.0,5.0009,0.0,0.0,0.000283,0.000325,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-01 00:18:00,2,Wheat,Sandy,41.9995,377.9953,60.0,18.0,78.0,0.9,0.5714,55.0,13.0005,0.0,0.0,0.000283,0.000241,0.0,0.0,0.0,0.0,0.0,0.0
