timestamp,zone_id,crop,growth_stage,soil_type,temperature,humidity,solar_radiation,wind_speed,rainfall,soil_moisture,field_capacity,wilting_point,target_moisture,kc,moisture_error,available_water,et0,etc,effective_rainfall,water_deficit
2026-06-01 00:00:00,1,Tomato,Mid-season,Loam,19.8,82.4,0.0,1.8,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000264,0.000304,0.0,0.000304
2026-06-01 00:00:00,2,Wheat,Development,Sandy,19.8,82.4,0.0,1.8,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000264,0.000224,0.0,0.000224
2026-06-01 00:00:00,3,Maize,Mid-season,Clay,19.8,82.4,0.0,1.8,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000264,0.000317,0.0,0.000317
2026-06-01 00:01:00,1,Tomato,Mid-season,Loam,19.79,82.42833333333334,0.0,1.7966666666666666,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000298,0.000343,0.0,0.000343
2026-06-01 00:01:00,2,Wheat,Development,Sandy,19.79,82.42833333333334,0.0,1.7966666666666666,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000298,0.000253,0.0,0.000253
2026-06-01 00:01:00,3,Maize,Mid-season,Clay,19.79,82.42833333333334,0.0,1.7966666666666666,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000298,0.000358,0.0,0.000358
2026-06-01 00:02:00,1,Tomato,Mid-season,Loam,19.78,82.45666666666668,0.0,1.7933333333333334,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000199,0.000229,0.0,0.000229
2026-06-01 00:02:00,2,Wheat,Development,Sandy,19.78,82.45666666666668,0.0,1.7933333333333334,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000199,0.000169,0.0,0.000169
2026-06-01 00:02:00,3,Maize,Mid-season,Clay,19.78,82.45666666666668,0.0,1.7933333333333334,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000199,0.000239,0.0,0.000239
2026-06-01 00:03:00,1,Tomato,Mid-season,Loam,19.77,82.485,0.0,1.79,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000312,0.000359,0.0,0.000359
2026-06-01 00:03:00,2,Wheat,Development,Sandy,19.77,82.485,0.0,1.79,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000312,0.000265,0.0,0.000265
2026-06-01 00:03:00,3,Maize,Mid-season,Clay,19.77,82.485,0.0,1.79,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000312,0.000374,0.0,0.000374
2026-06-01 00:04:00,1,Tomato,Mid-season,Loam,19.76,82.51333333333334,0.0,1.7866666666666666,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000218,0.000251,0.0,0.000251
2026-06-01 00:04:00,2,Wheat,Development,Sandy,19.76,82.51333333333334,0.0,1.7866666666666666,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000218,0.000185,0.0,0.000185
2026-06-01 00:04:00,3,Maize,Mid-season,Clay,19.76,82.51333333333334,0.0,1.7866666666666666,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000218,0.000262,0.0,0.000262
2026-06-01 00:05:00,1,Tomato,Mid-season,Loam,19.75,82.54166666666667,0.0,1.7833333333333334,0.0,55.0,70.0,25.0,60.0,1.15,,,0.000251,0.000289,0.0,0.000289
2026-06-01 00:05:00,2,Wheat,Development,Sandy,19.75,82.54166666666667,0.0,1.7833333333333334,0.0,42.0,60.0,18.0,55.0,0.85,,,0.000251,0.000213,0.0,0.000213
2026-06-01 00:05:00,3,Maize,Mid-season,Clay,19.75,82.54166666666667,0.0,1.7833333333333334,0.0,65.0,75.0,30.0,65.0,1.2,,,0.000251,0.000301,0.0,0.000301
