timestamp,scenario,zone_id,crop,soil_type,soil_moisture,rsm,moisture_error,soil_stress,weather_stress,water_demand,et0,etc,rainfall,effective_rainfall,crop_water_deficit,irrigation_command
2026-06-01 00:00:00,Normal,1,Tomato,Loam,55.0,0.6667,5.0,25.98,15.74,9.23,0.000264,0.000304,0.0,0.0,0.000304,21.61
2026-06-01 00:00:00,Normal,2,Wheat,Sandy,42.0,0.5714,13.0,56.37,15.74,9.23,0.000264,0.000224,0.0,0.0,0.000224,62.52
2026-06-01 00:00:00,Normal,3,Maize,Clay,65.0,0.7778,0.0,14.15,15.74,9.23,0.000264,0.000317,0.0,0.0,0.000317,5.36
2026-06-01 00:01:00,Normal,1,Tomato,Loam,54.9999,0.6667,5.0001,25.98,15.87,9.23,0.000298,0.000343,0.0,0.0,0.000343,21.61
2026-06-01 00:01:00,Normal,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,15.87,9.23,0.000298,0.000253,0.0,0.0,0.000253,62.52
2026-06-01 00:01:00,Normal,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,15.87,9.23,0.000298,0.000358,0.0,0.0,0.000358,5.36
2026-06-01 00:02:00,Normal,1,Tomato,Loam,54.9999,0.6667,5.0001,25.98,15.74,9.23,0.000199,0.000229,0.0,0.0,0.000229,21.61
2026-06-01 00:02:00,Normal,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,15.74,9.23,0.000199,0.000169,0.0,0.0,0.000169,62.52
2026-06-01 00:02:00,Normal,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,15.74,9.23,0.000199,0.000239,0.0,0.0,0.000239,5.36
2026-06-01 00:03:00,Normal,1,Tomato,Loam,54.9998,0.6667,5.0002,25.98,15.74,9.23,0.000312,0.000359,0.0,0.0,0.000359,21.61
2026-06-01 00:03:00,Normal,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,15.74,9.23,0.000312,0.000265,0.0,0.0,0.000265,62.52
2026-06-01 00:03:00,Normal,3,Maize,Clay,64.9999,0.7778,0.0001,14.15,15.74,9.23,0.000312,0.000374,0.0,0.0,0.000374,5.36
2026-06-01 00:04:00,Normal,1,Tomato,Loam,54.9998,0.6667,5.0002,25.98,16.01,9.23,0.000218,0.000251,0.0,0.0,0.000251,21.61
2026-06-01 00:04:00,Normal,2,Wheat,Sandy,41.9999,0.5714,13.0001,56.37,16.01,9.23,0.000218,0.000185,0.0,0.0,0.000185,62.52
2026-06-01 00:04:00,Normal,3,Maize,Clay,64.9998,0.7778,0.0002,14.15,16.01,9.23,0.000218,0.000262,0.0,0.0,0.000262,5.36
2026-06-01 00:05:00,Normal,1,Tomato,Loam,54.9997,0.6667,5.0003,25.98,15.97,9.23,0.000251,0.000289,0.0,0.0,0.000289,21.61
2026-06-01 00:05:00,Normal,2,Wheat,Sandy,41.9998,0.5714,13.0002,56.37,15.97,9.23,0.000251,0.000213,0.0,0.0,0.000213,62.52
2026-06-01 00:05:00,Normal,3,Maize,Clay,64.9998,0.7778,0.0002,14.15,15.97,9.23,0.000251,0.000301,0.0,0.0,0.000301,5.36
2026-06-01 00:06:00,Normal,1,Tomato,Loam,54.9997,0.6667,5.0003,25.98,15.87,9.23,0.000366,0.000421,0.0,0.0,0.000421,21.61
2026-06-01 00:06:00,Normal,2,Wheat,Sandy,41.9998,0.5714,13.0002,56.37,15.87,9.23,0.000366,0.000311,0.0,0.0,0.000311,62.52
2026-06-01 00:06:00,Normal,3,Maize,Clay,64.9998,0.7778,0.0002,14.15,15.87,9.23,0.000366,0.000439,0.0,0.0,0.000439,5.36
2026-06-01 00:07:00,Normal,1,Tomato,Loam,54.9996,0.6667,5.0004,25.98,15.93,9.23,0.000322,0.00037,0.0,0.0,0.00037,21.61
2026-06-01 00:07:00,Normal,2,Wheat,Sandy,41.9998,0.5714,13.0002,56.37,15.93,9.23,0.000322,0.000274,0.0,0.0,0.000274,62.52
2026-06-01 00:07:00,Normal,3,Maize,Clay,64.9997,0.7778,0.0003,14.15,15.93,9.23,0.000322,0.000386,0.0,0.0,0.000386,5.36
2026-06-01 00:08:00,Normal,1,Tomato,Loam,54.9996,0.6667,5.0004,25.98,15.92,9.23,0.000336,0.000386,0.0,0.0,0.000386,21.61
2026-06-01 00:08:00,Normal,2,Wheat,Sandy,41.9997,0.5714,13.0003,56.37,15.92,9.23,0.000336,0.000286,0.0,0.0,0.000286,62.52
2026-06-01 00:08:00,Normal,3,Maize,Clay,64.9997,0.7778,0.0003,14.15,15.92,9.23,0.000336,0.000403,0.0,0.0,0.000403,5.36
2026-06-01 00:09:00,Normal,1,Tomato,Loam,54.9995,0.6667,5.0005,25.98,16.01,9.23,0.000156,0.000179,0.0,0.0,0.000179,21.61
2026-06-01 00:09:00,Normal,2,Wheat,Sandy,41.9997,0.5714,13.0003,56.37,16.01,9.23,0.000156,0.000133,0.0,0.0,0.000133,62.52
2026-06-01 00:09:00,Normal,3,Maize,Clay,64.9997,0.7778,0.0003,14.15,16.01,9.23,0.000156,0.000187,0.0,0.0,0.000187,5.36
2026-06-01 00:10:00,Normal,1,Tomato,Loam,54.9995,0.6667,5.0005,25.98,15.88,9.23,0.000434,0.000499,0.0,0.0,0.000499,21.61
2026-06-01 00:10:00,Normal,2,Wheat,Sandy,41.9997,0.5714,13.0003,56.37,15.88,9.23,0.000434,0.000369,0.0,0.0,0.000369,62.52
2026-06-01 00:10:00,Normal,3,Maize,Clay,64.9996,0.7778,0.0004,14.15,15.88,9.23,0.000434,0.000521,0.0,0.0,0.000521,5.37
2026-06-01 00:11:00,Normal,1,Tomato,Loam,54.9994,0.6667,5.0006,25.98,15.9,9.23,0.0002,0.00023,0.0,0.0,0.00023,21.61
2026-06-01 00:11:00,Normal,2,Wheat,Sandy,41.9997,0.5714,13.0003,56.37,15.9,9.23,0.0002,0.00017,0.0,0.0,0.00017,62.52
2026-06-01 00:11:00,Normal,3,Maize,Clay,64.9996,0.7778,0.0004,14.15,15.9,9.23,0.0002,0.00024,0.0,0.0,0.00024,5.37
2026-06-01 00:12:00,Normal,1,Tomato,Loam,54.9994,0.6667,5.0006,25.98,15.98,9.23,0.000385,0.000443,0.0,0.0,0.000443,21.61
2026-06-01 00:12:00,Normal,2,Wheat,Sandy,41.9996,0.5714,13.0004,56.37,15.98,9.23,0.000385,0.000327,0.0,0.0,0.000327,62.52
2026-06-01 00:12:00,Normal,3,Maize,Clay,64.9996,0.7778,0.0004,14.15,15.98,9.23,0.000385,0.000462,0.0,0.0,0.000462,5.37
2026-06-01 00:13:00,Normal,1,Tomato,Loam,54.9993,0.6667,5.0007,25.98,15.91,9.23,0.000369,0.000424,0.0,0.0,0.000424,21.61
2026-06-01 00:13:00,Normal,2,Wheat,Sandy,41.9996,0.5714,13.0004,56.37,15.91,9.23,0.000369,0.000314,0.0,0.0,0.000314,62.52
2026-06-01 00:13:00,Normal,3,Maize,Clay,64.9995,0.7778,0.0005,14.15,15.91,9.23,0.000369,0.000443,0.0,0.0,0.000443,5.37
2026-06-01 00:14:00,Normal,1,Tomato,Loam,54.9993,0.6667,5.0007,25.98,15.99,9.23,0.000327,0.000376,0.0,0.0,0.000376,21.61
2026-06-01 00:14:00,Normal,2,Wheat,Sandy,41.9996,0.5714,13.0004,56.37,15.99,9.23,0.000327,0.000278,0.0,0.0,0.000278,62.52
2026-06-01 00:14:00,Normal,3,Maize,Clay,64.9995,0.7778,0.0005,14.15,15.99,9.23,0.000327,0.000392,0.0,0.0,0.000392,5.37
2026-06-01 00:15:00,Normal,1,Tomato,Loam,54.9992,0.6666,5.0008,26.01,15.98,9.23,0.000215,0.000247,0.0,0.0,0.000247,21.71
2026-06-01 00:15:00,Normal,2,Wheat,Sandy,41.9995,0.5714,13.0005,56.37,15.98,9.23,0.000215,0.000183,0.0,0.0,0.000183,62.52
2026-06-01 00:15:00,Normal,3,Maize,Clay,64.9994,0.7778,0.0006,14.15,15.98,9.23,0.000215,0.000258,0.0,0.0,0.000258,5.37
2026-06-01 00:16:00,Normal,1,Tomato,Loam,54.9992,0.6666,5.0008,26.01,16.04,9.23,0.00027,0.00031,0.0,0.0,0.00031,21.71
2026-06-01 00:16:00,Normal,2,Wheat,Sandy,41.9995,0.5714,13.0005,56.37,16.04,9.23,0.00027,0.00023,0.0,0.0,0.00023,62.52
2026-06-01 00:16:00,Normal,3,Maize,Clay,64.9994,0.7778,0.0006,14.15,16.04,9.23,0.00027,0.000324,0.0,0.0,0.000324,5.37
2026-06-01 00:17:00,Normal,1,Tomato,Loam,54.9992,0.6666,5.0008,26.01,15.92,9.23,0.000224,0.000258,0.0,0.0,0.000258,21.71
2026-06-01 00:17:00,Normal,2,Wheat,Sandy,41.9995,0.5714,13.0005,56.37,15.92,9.23,0.000224,0.00019,0.0,0.0,0.00019,62.52
2026-06-01 00:17:00,Normal,3,Maize,Clay,64.9994,0.7778,0.0006,14.15,15.92,9.23,0.000224,0.000269,0.0,0.0,0.000269,5.37
2026-06-01 00:18:00,Normal,1,Tomato,Loam,54.9991,0.6666,5.0009,26.01,16.03,9.23,0.000283,0.000325,0.0,0.0,0.000325,21.71
2026-06-01 00:18:00,Normal,2,Wheat,Sandy,41.9995,0.5714,13.0005,56.37,16.03,9.23,0.000283,0.000241,0.0,0.0,0.000241,62.52
2026-06-01 00:18:00,Normal,3,Maize,Clay,64.9993,0.7778,0.0007,14.15,16.03,9.23,0.000283,0.00034,0.0,0.0,0.00034,5.37
2026-06-01 00:19:00,Normal,1,Tomato,Loam,54.9991,0.6666,5.0009,26.01,15.98,9.23,0.000235,0.00027,0.0,0.0,0.00027,21.71
2026-06-01 00:19:00,Normal,2,Wheat,Sandy,41.9995,0.5714,13.0005,56.37,15.98,9.23,0.000235,0.0002,0.0,0.0,0.0002,62.52
2026-06-01 00:19:00,Normal,3,Maize,Clay,64.9993,0.7778,0.0007,14.15,15.98,9.23,0.000235,0.000282,0.0,0.0,0.000282,5.37
2026-06-01 00:20:00,Normal,1,Tomato,Loam,54.9991,0.6666,5.0009,26.01,15.93,9.23,0.000119,0.000137,0.0,0.0,0.000137,21.71
2026-06-01 00:20:00,Normal,2,Wheat,Sandy,41.9994,0.5714,13.0006,56.37,15.93,9.23,0.000119,0.000101,0.0,0.0,0.000101,62.52
2026-06-01 00:20:00,Normal,3,Maize,Clay,64.9993,0.7778,0.0007,14.15,15.93,9.23,0.000119,0.000143,0.0,0.0,0.000143,5.37
2026-06-01 00:21:00,Normal,1,Tomato,Loam,54.999,0.6666,5.001,26.01,15.86,9.23,0.00034,0.000391,0.0,0.0,0.000391,21.71
2026-06-01 00:21:00,Normal,2,Wheat,Sandy,41.9994,0.5714,13.0006,56.37,15.86,9.23,0.00034,0.000289,0.0,0.0,0.000289,62.52
2026-06-01 00:21:00,Normal,3,Maize,Clay,64.9993,0.7778,0.0007,14.15,15.86,9.23,0.00034,0.000408,0.0,0.0,0.000408,5.37
2026-06-01 00:22:00,Normal,1,Tomato,Loam,54.999,0.6666,5.001,26.01,16.05,9.23,0.000246,0.000283,0.0,0.0,0.000283,21.71
2026-06-01 00:22:00,Normal,2,Wheat,Sandy,41.9994,0.5714,13.0006,56.37,16.05,9.23,0.000246,0.000209,0.0,0.0,0.000209,62.52
2026-06-01 00:22:00,Normal,3,Maize,Clay,64.9992,0.7778,0.0008,14.15,16.05,9.23,0.000246,0.000295,0.0,0.0,0.000295,5.37
2026-06-01 00:23:00,Normal,1,Tomato,Loam,54.9989,0.6666,5.0011,26.01,15.86,9.23,0.00022,0.000253,0.0,0.0,0.000253,21.71
2026-06-01 00:23:00,Normal,2,Wheat,Sandy,41.9994,0.5714,13.0006,56.37,15.86,9.23,0.00022,0.000187,0.0,0.0,0.000187,62.52
2026-06-01 00:23:00,Normal,3,Maize,Clay,64.9992,0.7778,0.0008,14.15,15.86,9.23,0.00022,0.000264,0.0,0.0,0.000264,5.37
2026-06-01 00:24:00,Normal,1,Tomato,Loam,54.9989,0.6666,5.0011,26.01,15.81,9.23,0.00021,0.000242,0.0,0.0,0.000242,21.71
2026-06-01 00:24:00,Normal,2,Wheat,Sandy,41.9993,0.5714,13.0007,56.38,15.81,9.23,0.00021,0.000178,0.0,0.0,0.000178,62.53
2026-06-01 00:24:00,Normal,3,Maize,Clay,64.9992,0.7778,0.0008,14.15,15.81,9.23,0.00021,0.000252,0.0,0.0,0.000252,5.37
2026-06-01 00:25:00,Normal,1,Tomato,Loam,54.9988,0.6666,5.0012,26.01,15.8,9.23,0.000264,0.000304,0.0,0.0,0.000304,21.71
2026-06-01 00:25:00,Normal,2,Wheat,Sandy,41.9993,0.5714,13.0007,56.38,15.8,9.23,0.000264,0.000224,0.0,0.0,0.000224,62.53
2026-06-01 00:25:00,Normal,3,Maize,Clay,64.9991,0.7778,0.0009,14.15,15.8,9.23,0.000264,0.000317,0.0,0.0,0.000317,5.37
2026-06-01 00:26:00,Normal,1,Tomato,Loam,54.9988,0.6666,5.0012,26.01,15.87,9.23,0.000176,0.000202,0.0,0.0,0.000202,21.71
2026-06-01 00:26:00,Normal,2,Wheat,Sandy,41.9993,0.5714,13.0007,56.38,15.87,9.23,0.000176,0.00015,0.0,0.0,0.00015,62.53
2026-06-01 00:26:00,Normal,3,Maize,Clay,64.9991,0.7778,0.0009,14.15,15.87,9.23,0.000176,0.000211,0.0,0.0,0.000211,5.37
2026-06-01 00:27:00,Normal,1,Tomato,Loam,54.9988,0.6666,5.0012,26.01,15.83,9.23,8.5e-05,9.8e-05,0.0,0.0,9.8e-05,21.71
2026-06-01 00:27:00,Normal,2,Wheat,Sandy,41.9993,0.5714,13.0007,56.38,15.83,9.23,8.5e-05,7.2e-05,0.0,0.0,7.2e-05,62.53
